x,y,na.x,size,vertex.names,xend,yend,na.y,weight
0.3109063661827164,0.41680998723096013,FALSE,598,amyklobuchar,0.3109063661827164,0.41680998723096013,NA,NA
0.40926658421303364,0.8538072082948938,FALSE,61,BenSasse,0.40926658421303364,0.8538072082948938,NA,NA
0.10174199484076246,0.5026581169904586,FALSE,232,BillCassidy,0.10174199484076246,0.5026581169904586,NA,NA
1,0.1652105691274275,FALSE,2,BobCorker,1,0.1652105691274275,NA,NA
0.5142993228459868,0.12482791256366396,FALSE,84,brianschatz,0.5142993228459868,0.12482791256366396,NA,NA
0.22121797918439207,0.41396975777672274,FALSE,484,ChrisCoons,0.22121797918439207,0.41396975777672274,NA,NA
0.362735446555387,0.2672084259976605,FALSE,316,ChrisMurphyCT,0.362735446555387,0.2672084259976605,NA,NA
0.5127004030379468,0.3501131986330166,FALSE,218,ChrisVanHollen,0.5127004030379468,0.3501131986330166,NA,NA
0.1575904360216534,0.6040955389194943,FALSE,220,ChuckGrassley,0.1575904360216534,0.6040955389194943,NA,NA
0.4148944502470482,0.5015789735096273,FALSE,311,clairecmc,0.4148944502470482,0.5015789735096273,NA,NA
0.446914584363158,0.36139562033139516,FALSE,445,CoryBooker,0.446914584363158,0.36139562033139516,NA,NA
0.5368215182038963,0.6805024030478599,FALSE,181,GrahamBlog,0.5368215182038963,0.6805024030478599,NA,NA
0.44981704671159345,0.5298696732364006,FALSE,432,JeffFlake,0.44981704671159345,0.5298696732364006,NA,NA
0.24834558564899722,0.6252338485113792,FALSE,248,JerryMoran,0.24834558564899722,0.6252338485113792,NA,NA
0.22214582944931535,0.6664594683191986,FALSE,234,JohnBoozman,0.22214582944931535,0.6664594683191986,NA,NA
0.12741433258723864,0.46534927105045143,FALSE,211,JohnCornyn,0.12741433258723864,0.46534927105045143,NA,NA
0.3302291706079759,1,FALSE,66,joniernst,0.3302291706079759,1,NA,NA
